Arabic,Franko
بوزها,bozha
شبر,$br
تريله,trelh
عالطلب,3al6lb
بوديكو,bodeko
وبرجعكو,w brj3ko
نلفلف,nlflf
منطش,mn6sh
خلفك,5lfk
قوم,gwm
حرامي,7rami
ينعطى,yn36a
بتجلحد,btjl7d
سخط,s56
وباء,wba2
العين,2l3en
مصخرجي,m95rji
حششنا,7$a$na
قحط,g76
ملاحقه,mla78a
بنك,bnk
صراف,9raf
تنك,tnk
عبيته,3beto
خزانكو,5zanko
خشومها,5shomha
طفاشه,6fasheh
ثقل,th8l
ساردين,sarden
استفرغ,2stfr3'
بعبي,b3bi
لهون,lhon
هاني,hani
فطاحل,f6a7l
نابغه,nabe3'ah
محشه,m7sha
فقع,f83
عزلي,3zli
وشطفي,w$6fi
قحطنا,ga76na
ملعون,ml3oun
بايزه,bayzh
مريول,mreol
عقاب,3gab
قربيهن,grbehn
القطهن,2lg6hn
حوستهن,7osthn
تصخين,t95en
بهبط,bhb6
اكربي,2krbi
اكرببيهن,2krbehn
ينفكن,ynfkn
بلشه,bl$h
ميمعه,mem3a
جلطتني,jl6tni
بخور,b5or
مدخن,md5n
بحمرو,b7mro
سلطات,sla6at
نهدي,nhdi
معجن,m3jan
ششبرك,sheshbrk
مبهرات,mbhrat
ريحتهن,re7thn
ريحان,re7an
وزعتر,wz3tr
بري,bri
ميرميه,mermeh
هرستهن,hrsthn
ودعجتهن,wd3chthn
غساله,3'saleh
مفلاقات,mflgat
ملفوفات,mlfofat
بورق,bwrg
اطعميهن,a63mehn
بتكسبي,btksbi
اجر,2jr
وطيتي,w6eti
لوثهين,lothtehn
جربوع,jrbou3
المجاري,almjari
اسمه,2smoh
مشط,m$6
شسوار,$soar
كريمه,krema
طماع,6ma3
كيس,kis
فيش,fe$
شاحن,$a7n
ملحمه,ml7meh
مغسله,m3'sleh
فستق,fstg
برتقال,brtgal
جبرتك,jbrtk
مبزر,mbzr
تشكيله,t$kela
خسران,5sran
خسرانه,5sranh
مشاقطه,m$ag6ah
شره,shrh
بطيني,b6eni
منفجع,mnfj3
المقرودين,2lmgroden
قواعد,8wa3d
مسكونه,mskona
مدفيها,mdfeha
حضوركم,79'orkm
متريح,mtre7
ربطت,rb6t
شركلت,$rklt
شلختي,$l5ti
ربيع,rbe3
اشتت,2$tt
شتينا,$tena
مشقره,m$greh
طارشه,6ar$h
قلقت,glgt
شايله,$ailh
طعم,63m
مملوح,mmlo7
مقطمه,mg6mah
بيضانه,be9'anh
اعلانات,a3lanat
غربه,3'rbh
بديهه,bdehah
سماوي,smawi
ازرق,2zrag
رمادي,rmadi
معجن,m3jn
فطاير,f6ayr
اظافر,26'afr
اصبعي,29b3i
تراب,trab
مطمر,m6mr
مترب,mtrb
معجعجه,m3ch3cha
منفوخه,mnfou5ah
مخربه,m5rbeh
كيانها,keanha
الرقي,2lr8i
النورنه,alnowrnh
عباية,3bayt
ثوب,thob
ثوم,thom
هريسه,hreseh
مندي,mndi
مقلوبه,m8lobah
خبيصه,5be9ah
عوامه,3oamh
اجبلها,2jblha
ألأدوات,2l2dwat
مشرط,m$r6
مقص,mg9
قاطوله,8a6olh
مهده,mhdeh
منشار,mn$ar
اكوام,2koam
ولدتي,wldti
جربتي,jrbti
ترميش,trmesh
تهبريش,thbre$
مساحه,msa7h
مسلحه,msl7ah
خفيفه,5fefeh
بطنه,b6nh
حبلتي,7blti
رميتي,rmeti
كريم,kream
مزيح,mze7
كومدي,komdi
انهبلنا,2nhblna
ضحكنا,9'7kna
علقد,3lagd
فرجانا,frjana
بيته,beto
ناقص,nag9
يوفيه,yofeh
زاهيه,zaheh
مصرفنا,m9frna
مصرف,m9rf
سالوعات,salo3at
بسلعن,bsl3n
زوبعه,zob3ah
شمطها,$m6ha
مليون,mleoun
بوسه,boseh
زاجيه,zacheh
قرط,gr6
ولهم,wlhm
صمصوم,smsom
بكرهوك,bkrhok
قلبك,glbk
لوني,lwni
بعرفكيش,b3rfkesh
بتستحي,btst7i
افكر,afkr
عمتي,3mte
جرحتني,jr7tne
قليله,gleleh
سمارك,smark
بلزمكيش,blzmkesh
بستحي,bst7e
نغاشتك,n3'ashtk
بتحب,bt7b
جابك,jabk
سليني,saleni
اعطيك,a3tek
بمثلني,bmthlne
بشبهني,bshbhni
بشبهك,bshbhk
تانين,tanyen
صورلي,swrle
عحالكم,37alkm
بهيم,bhem
فلسفه,flsfeh
حاكيلك,7akilk
قايلك,8ailk
بتنكت,btnket
مدة,modet
بشوفني,bshofni
بخلقتي,bkhlgte
زهقتو,zhgto
نكشي,nkshe
زادو,zado
تأليفي,t2lefe
مدينة,mdenit
بزر,bezr
بطلت,btlt
سميت,smet
بدني,bdne
زق,zg
ينزع,ynz3
بقربلك,bgrblk
استفدت,istfdet
بقدرش,b8drsh
بتعرفنيش,bt3rfnesh
بالشكل,blshkl
بعرفوهم,b3rfohm
بالشكل,blshekl
تبعون,tb3on
قصبه,89bah
زهقانه,zh8aneh
صحبه,so7be
فضول,fdol
بنشوفك,bnshofk
احزر,27zr
بضربش,bdrobsh
شايفه,$ayfheh
المعنويات,alm3nwyat
اخبارك,akhbark
بلشتو,bl$to
تخلع,tkhl3
براطم,bra6m
شلاطيف,$la6ef
بصاحبش,bsa7bsh
الادب,l2db
اتفقنا,etfgna
النبي,alnbe
مؤدبه,mo2dbeh
بتسب,btseb
بتسبي,btsebi
وحياتك,w7yatk
تحلفيش,t7lfesh
شكلك,shklik
موتي,moti
عارفك,3arfik
الاول,alawal
ناقصتك,na8stk
بسألوني,bs2loni
اوقح,awqa7
تعاملك,t3amlk
زناختك,zna5tk
جيبو,jebo
اسألو,is2lo
انسأل,ans2el
مسرعكم,msr3km
فبحكيلو,fb7kelo
اخرس,ikhrs
خليها,khleha
اجاك,ajak
يجيك,yjek
مواصلاتي,mwaslate
بتدفع,btdf3
فاشل,fashl
تفاهمكم,tfahomkm
وصلتها,wsltha
سيئه,sy2ah
نقيلك,n8elak
شطفت,shtft
شطفت,sh6ft
لطيفين,la6efen
الشبشب,2lshbshb
دافيين,dafen
الجمهور,aljmhor
رواد,rwad
بتتغزل,bttghzal
حريات,7oreyat
الأجابه,alijabeh
مغرور,mghror
ترجاني,trjane
احكيلك,a7kelk
لأنو,l2eno
زاجل,zajel
بشع,b$3
الفكره,alfekra
فيش,fish
فكرتكم,fkrtkm
نيردين,nerden
هندسه,hndseh
شوفتني,shoftne
تعرفني,t3rfne
بشتغل,bshtghel
بتسألني,bts2lne
توزع,twz3
اسالي,is2ale
خليكي,khleki
بخزي,bkhze
افندي,afndee
بنحكى,bn7ka
العب,il3b
مخابرات,mokhabrat
عالفه,3alafeh
زيدهم,zedhom
قرف,8rf
بتهيأله,bthy2lu
عصبيه,3sbeye
بشوكه,bshokh
سكينه,skeni
عدمك,3damk
شرقه,shr8ah
حبيبات,7obybat
تصوم,tsom
صايم,sayem
بتبين,btbyn
تجيبهوش,tjebhosh
ادعس,ad3s
محسنكم,m7snkm
يعرفك,y3rfik
متأكده,mt2kdeh
واقي,wa8i
بتغنيني,bt3'neni
بكفي,bkafe
تشحدي,tsh7ade
اذا,2tha
بكندره,bkondarah
تفكير,tfker
بتجيبيلي,btjebele
بتقوليلي,btgoolele
قصتك,g9tek
تعتقني,t3tgne
لوجه,lwajh
الحمدلله,l7amdullah
خلصني,5l9ne
حماده,7madah
جائزه,ja2zeh
امك,omak
داريه,daryeh
دنيا,dnya
دانتيل,dantel
احافظ,a7afe9'
مسكاكي,mskaki
بحبهوش,b7bhosh
بحبش,b7bash
مضيع,m9'y3
اسفين,asfen
اسمك,2smek
تنكسني,tnksne
بعملها,ba3malha
بيني,bayni
برايك,br2yak
لهيك,lhek
مبلا,mbala
الجوع,2ljo3
كافر,kafer
بطني,b6ne
حدث,7dth
كافره,kafreh
جوعانه,jo3aneh
عرفتني,3rftni
لأنك,la2nek
جوعانه,jo3anh
احساس,27sas
بخوف,b5awef
الوجبه,elwajbeh
مسكاني,mskani
حسستني,7sasteni
بطقس,b6agas
حكياتي,7kyate
احساسك,2e7sask
بمحلو,bm7lo
حكيت,7kait
حكيك,7akyek
باجي,baje
تعفني,t3fne
حدقه,7dgah
حداقه,7dagah
قرد,8erd
غزال,3'azal
مامتك,mamtk
الخسران,l5sran
حكتيها,7keteha
جيبلي,jeble
تبعك,tba3ek
قصتك,89tek
بتضل,bt9'l
طايشين,6ayshen
اطقع,a6ga3
بتطلعي,bt6la3e
هبله,hablh
طوسه,6oseh
برد,bared
لابس,labes
جاكيت,jaket
الطبون,el6abon
طبون,6abon
بدخن,btd5n
ارجيله,argeleh
حكيتلك,7katlek
سقف,sa8ef
سياره,sayarah
مالكيش,mlkesh
مصلحه,ma9la7ah
هالبيت,halbet
اطش,a6sh
بحطك,ba7o6ek
تطول,t6wel
مروحين,mrawe7en
تتهنى,tthana
طاشين,6ashen
منلف,mnlof
معين,mo3ean
بتلفلف,btlflf
الشباب,lshbab
معطلتك,m36ltk
ابعتلي,eb3tle
نعسان,na3san
بالحمام,bl7mam
بألف,b2alf
حوادث,7wadeth
التاريخ,2ltare5
يابا,yaba
ازحلق,aza7lag
قصة,g9at
احطها,a7o6ha
متقبل,metgbel
الشيخ,2lshe5
متعطل,mt36al
عقلي,3gle
بطلعلي,b6l3le
عقلك,3aglak
جماعه,gma3ah
مرضت,mr9'at
وراهن,wrahan
تزبيط,tzbe6
بوجهين,bwjhen
يقرصني,ygro9ne
يلطعني,yl63ni
بروحلو,bro7lo
بسمطو,bsm6o
لأبوه,l2boh
برقعلك,br83lk
تلزيق,tlzeg
بالحيطان,bl7e6an
مخزقه,m5zagah
مصبره,m9brah
نشر,n$r
عالحبال,3l7bal
بترقع,btrg3
رقع,rg3
حاسيتك,7asetik
ازعلتي,az3lti
مأجله,m2jleh
نجحت,nje7t
مركز,mrkez
التاريخ,altare5
بتحبك,bt7bak
يسلمها,ysalmha
عليها,3laiha
الحمدلله,al7mdelah
توقعت,twag3t
حاقد,7a8ed
بتبين,btbyen
مختفي,m5tfe
الحمدلله,al7mdulah
ياسر,yaser
مزوق,mzweg
اتسمعني,atsm3ni
برنلكم,brnlkm
بتخون,bt5on
صاحبيتك,sa7betk
ارن,aren
ترن,tren
اتحبني,at7bni
رقمك,ra8mak
مغير,mghyer
ضهر,9'hr
الهمر,alhamar
اطعني,et3ani
طششني,6sheshne
بتحبو,bthebo
طلال,6lal
شركات,shrekat
طابق,6abeg
اركبو,arkbo
ينبح,ynba7
الزعبي,alzo3bi
شايل,shayel
طفرانين,6franen
بالحيط,bel7e6
مصباح,me9ba7
قالتلي,galtle
رصيدي,rasidi
يابوي,yaboi
العماره,al3marah
قصة,ge9t
سمعه,som3ah
استحي,esta7i
مصاحب,msa7ib
اخوك,akhuk
مصاحبين,msa7eben
أربد,2rbid
صخر,sakher
اسلوبك,oslobk
موديل,modeal
سنته,sntah
مواليد,mawaled
ايدك,2edak
بضهرك,b9'hrk
علمك,3almak
مهند,mohanad
خاطبين,5a6ben
حمير,hamer
خوانك,5wanek
بيعز,be3ez
حموري,hamori
طعاني,t3ani
بيعرط,be3r6
صرامي,9rami
شاورما,shawerma
عمي,3my
قالبين,galben
عالبشتاوي,3lbashtawe
عشنو,3ashno
صحبه,9o7bah
حارتي,7arti
تالا,tala
جراح,jarah
السلامه,2lslamh
المعنويه,2lm3nwih
مزهزه,mzhzh
جلافه,jlafh
مكتئب,mkt2b
بتشطف,bt$6f
عالسقعه,3lsg3ah
شايفلي,shaefli
نبطها,nb6ha
رخصة,r59t
عابوره,3aborh
مرمطها,mrm6ha
اتشققت,at$8a8t
شقف,$gf
ولاعه,wla3ah
جردها,jrdha
هيئة,hy2t
شاغره,$a3'rh
الطاقه,al6a8h
المعادن,elm3adn
اشغلوها,2sh3'loha
اربداويه,irbdawih
اسكاهم,askahm
اعتبريها,a3tbreha
مزعه,mz3ah
لمحه,lm7h
مطلعك,m6l3k
متابعه,mtab3h
بتتغيري,btt3'ere
لسانك,lsank
حكيتها,7keteha
بالعقبه,bl3gabah
صبرتي,9brti
للأسبوع,ll2sbo3
الجاي,eljai
هوناكا,honaka
بيش,besh
تجاوبيش,tjawbe$
بنبصط,bnb96
بنفسنه,bnfsneh
اخيرا,akhern
رديتي,rdete
استغربت,estgrabt
مرجعه,mrj3ah
خوفتيني,khwftene
غبتي,gbti
يستر,ystr
دبعتلك,db3tlk
اسخطك,as56k
اخبيلكم,a5belkm
بترويحه,btrwe7ah
اجيبلكم,ajeblkm
بالفرصه,blfrsah
الحمره,el7mra
اشتريت,shtret
المدرسه,almdrseh
معطله,m3tleh
دونك,donek
اعجالهم,23jalhm
امبارح,embari7
كريمه,karemeh
بسألها,bs2alha
كبه,kbah
حطو,7ato
نسيني,nseni
فضايح,fday7
أستطيع,2st6e3
العيش,al3ysh
اسكتي,askte
انجبي,2nchbi
سندويشه,sndwe$eh
تجننيها,tjnneha
بطريقة,btrygt
اكلك,aklk
انتقلت,ant8lt
تعدميني,t3dmene
مزوقه,mzwe8ah
اتفقو,etf8u
منطلع,mntl3
تعبانين,t3banen
حبيتهم,7bethm
بشرب,bshrab
كرز,karaz
ازبط,azbt
ندمتي,ndmti
بسامح,bsam7
الجميع,2ljame3
حزنتني,7zntne
اعترافات,23trafat
ابدلك,abdlk
ابادلك,abadlek
علشان,3lashan
شحبرو,sh7bro
تتحجبي,tt7jbi
خدام,5dam
يسامحهم,ysam7hm
الشر,alshar
شراره,$rarh
استفتاء,2stfta2
قشاطه,8sha6ah
يحيف,ya7eef
يتزلمن,etzlmn
فردا,frdn
بتشلق,bt$lg
البنوته,2lbnota
حاوز,7aowz
مصبرين,m9bren
ختايرة,5tayrt
الحارات,2l7arat
بتمناها,btmnha
نسافر,nsafr
يكونو,ykono
عطلي,3atli
ريحي,ray7i
مزاجي,mzaji
فضولك,fdolk
بقتلك,b8tlk
فضوليه,fdoleh
بين,ben
تبين,tben
ادمنتو,admnto
شربتو,shrbto
نقصني,n8sne
اشرب,2shrb
اقل,2a8l
مناسبه,monsbeh
كاستين,kastin
انجح,anj7
ادرس,adrs
اشتغل,asht3'l
مجال,mjal
تخصصي,t5sose
بنشتغل,bsht3'l
ننبسط,nnbst
نتهبل,nthbl
مشروع,mshro3
ناجح,naj7
استفيد,astafed
مستقبل,mst8bl
يسود,ysawd
بنسبه,bnsbh
يسمو,ysmu
رجل,rajol
الرجال,alrjal
اشبه,ashbah
تنشر,tnshr
يفضح,yfd7
تدين,tden
كما,kma
تدان,tdan
اختك,a5tk
بنتكم,bntkm
بوقتها,bw8tha
تندم,tndm
فوات,fwat
الأوان,al2wan
القصيده,2lg9edh
تشوفني,tshofni
كرهتك,krehtek
استمر,astmr
بحسدش,b7sdesh
واصل,wasl
لنص,lno9
ضهرك,9'hrk
ينفرد,ynfrd
تقصي,tg9e
بحياة,b7eat
المرأه,almar2a
بشعرها,bsh3rha
بالمناسبه,blmonsbeh
طرشه,6rsha
عميه,3meah
اعوض,a3wd
قل,8wl
برب,brab
الفلق,alfal8
تراقبني,tra8bni
مخابرات,m5abarat
افتحلك,aft7lk
بتتسلى,bttsla
ببطل,babtl
لتراقبني,ltra8bni
راقب,ra8b
مات,mat
هما,hamn
بنحسك,bn7sk
تخبي,t5bi
ابشري,ebshri
رؤى,roaa
ببعتلك,bb3tlk
يخليلي,y5leli
طيب,6aib
بتجرحي,btjr7e
تسعدي,tsa3di
مديح,made7
حملة,7mlt
تجربيلي,tjrbele
لأنساكي,l2nski
انداوم,andawm
احكيها,a7keha
مباشره,mbashrah
كاتبه,katbeh
بالبدايه,blbdayh
طبيعي,6be3e
تحملت,t7mlt
تعبتو,t3bto
سامحتك,sam7tk
بتعود,bt3wad
يغلط,y3'lt
يعتزر,y3tzr
تسامحو,tsam7o
تسامح,tsam7
بتتعب,btt3b
بتقسى,bt8sa
ترجعلو,trj3lo
بحط,b7a6
ذنبها,4nbha
حاطه,7a6a
مشاعر,msha3r
اضلها,adlha
بتحكم,bt7km
دونك,donk
حالتها,7altha
بليل,blel
بتشوف,btshof
صاير,sair
ضعيفه,d3efh
نصيحه,n9y7a
تتحملك,tt7mlk
بغلطتك,b3'ltk
تركتني,trktni
غلطان,3'l6an
وجها,wjha
ادمين,admen
بنغلط,bn3'l6
صغيره,93'erh
قاعده,8a3dh
اهلها,2hlha
شانك,shank
بناتك,bnatk
خواتك,5watk
مرتك,martk
ضميرك,dmerk
بتنامي,btnami
اخواته,a5oatoh
نادر,nader
ملاحضه,ml79'a
اغراها,a3'raha
بأهتمامه,b2htmamo
مأدبه,m2dbeh
الكهربا,alkhrba
قطع,8ta3
بزورها,bzorha
تخريج,t5rej
حفلاتي,7flati
بتتعوض,btt3wad
احضرها,27drha
اخرها,25rha
تلتقي,tlt8e
سوار,swar
مروه,marwh
لنموت,lnmot
لنكيف,lnkef
انبسط,anbst
اخليكي,a5leki
بخذ,b5d
بخافش,bkhafsh
بيجيكي,bejki
منزله,mnzleh
امبارح,imbar7
رؤيا,ro2ya
لتشوفي,ltshofi
طابق,6abi8
مستور,mstur
فضحتينا,fad7tena
بضحكتها,bd7ktha
محترمه,m7trmeh
بفضحكم,bfd7km
سلمي,slmi
بضحكنا,bd7kna
اعبيكي,a3beke
ماي,may
لنعجب,ln3jeb
منتقلين,mnt8len
بعثت,b3tht
للدكتور,lldctor
وصلني,w9lni
تشتغلي,t$t3'li
برقبتي,br8bti
محادثات,mo7adthat
بعدهن,b3dhn
شغلي,$3'li
القديم,el8dem
تغطي,t3'6i
امتحان,amt7n
فضيت,f9'et
تاركيته,tarketoh
مليانه,mleaneh
يزور,yzor
وقفت,w8ft
راحتك,ra7tek
تضغطي,td3'6i
بعثيها,ba3theh
ذكر,4aker
رحتي,r7ti
لبستي,lbsti
ورجيني,wrjeni
لبستك,lbstk
الخضر,el5dr
القميص,el8me9
الأبيض,elabya9'
انبسطو,enbs6o
كرفتنا,krftna
الزياره,elzyarah
الماضي,elma9'i
زرافه,zrafah
العب,al3b
شده,$deh
نزلي,nzle
العبي,el3bi
سيارات,syarat
نزليها,nzleha
غيبتي,3'ebti
مخي,mo5i
ضربتك,9'rbtek
مزخ,mz5
عطلتو,36lto
نشط,n$6
برجع,berj3
يظهر,y6'hr
اعطلو,a36lo
فعلتيه,f3lteh
تنشيطه,tn$e6oh
فتحتو,ft7to
عامليلها,3amlelha
يتنشط,ytn$6
لحالو,l7alo
يبين,yben
مفيد,mofed
يتفعل,ytf3l
خبيت,5bet
الشنته,el$nteh
اتخوث,at5oth
تروحي,tro7i
بلاب,blab
ابعتيه,eb3teh
شهاب,$hab
الحمدلله,elhamdellah
يتربى,ytrba
بعزكم,b3zkom
دعوتكم,d3otkom
صباحك,sba7k
عسل,3sl
بميزان,bmezan
حسناتك,7snatek
يسلمكم,yslmkom
غسان,3'san
مديرتنا,modertna
يرحمو,yr7mo
توفى,tofa
كيف,kaif
عمره,3mroh
بتجننو,btjnno
بالمحاضره,belmo7adrah
ميلي,myle
الدوام,eldoam
بكارفور,bkarfor
نحنا,nhna
تروجو,tro7o
مطولين,m6olen
مشاءالله,mashallah
عليكن,3lekn
مبيتين,mbetyn
زاكيين,zakeen
يكفي,bkfi
امتحاني,emt7ani
بجاول,b7awl
عنود,3nod
منورات,mnorat
مسجات,msjat
عباره,3ebarah
اعلانات,e3lanat
التلفزيون,eltlfzeon
مثلها,mtlha
ساحر,sa7er
يلم,ylm
يعملو,y3mlo
سحور,s7or
يقنعو,y8n3o
طبيعي,6be3i
يخاف,y5af
الطبقه,el6abe8
عمليه,3mleh
الوالد,elwalad
الأجواء,elajwa
تحشيش,t7$e$
ماتبلى,matbla
قلبوشتي,8lbo$aty
اعطيكم,a36ekom
النتيجه,elnatejeh
تشوفو,t$ofo
والقبول,wal8bol
صبيه,9baya
التجمع,eltjom3
جماعه,jma3h
بدها,bedha
الان,el2an
تشوفو,t$of
مقوس,m8ws
العهد,el3hd
تسألو,ts2lo
تاخذو,ta5do
راحتكم,ra7tkom
حسام,7osam
اعذار,a34ar
حاولو,7awlo
بشرفكو,b$rfko
بسم,bsm
نتجمع,ntjm3
عيوني,3yone
مشي,m$e
افهمنا,efhmna
بلشي,bl$e
زني,zne
نكش,nak$
الخطوه,el56oah
الجريئه,eljre2ah
ببحث,bb7th
العائله,el3a2leh
الكريمه,elkremeh
قعدتك,83dtk
بتتعوض,btt3o9'
يسمحلي,ysm7le
بلشان,bl$an
لأنكو,l2nko
حنون,7non
تضلمي,t9'lme
جوزك,jozek
العمره,el3omrah
بقطمط,b86m6
تحضر,t79'r
بالسلامه,belslameh
بتدفعي,btdf3e
صحلي,97le
يحضرو,y79'ro
نشوفك,n$ofek
يتعرف,yt3rf
صاحبات,9ahbat
ضروفي,9'erofi
المصطلح,elmo96l7
عقله,38lo
محسسني,m7ssne
بشري,b$ri
نفسيه,nfseh
لايخسر,lay5sr
ساويلنا,sawelna
شلون,$lon
بنجدد,bnjdd
اشتراك,e$trak
يخلص,y5l9
فخادنا,f5adna
اطخك,a65ek
شوقتيني,$o8tene
احلى,27la
روحك,ro7k
اشوتك,2$wtk
خطر,56r
عبالي,3bali
واجبكو,wajbko
انشويت,2n$wet
عمرانه,3amranh
الصديق,el9de8
الصدوق,el9do8
باكلش,bakl$
الوقت,elaw8at
بنستغنيش,bnst3'ne$
بخربش,b5rb$
اعذريني,a34rene
حماتي,7mati
الشغاله,el$3'aleh
يتعامل,yt3aml
يتفاجم,ytfajm
دبريها,dbreha
نجتمع,njtm3
شرف,$rf
رجعتك,rj3tk
حضنها,79'nha
صورتهم,9orthom
بوخد,bw5d
التعليق,elt3le8
تأرقل,t2r8l
تتفضل,ttfdl
جايه,jayeh
افتيها,efteha
الباب,elbab
الببو,elbobo
مشغلين,m$3'len
صوبه,9obah
مزكاكو,mzkako
حالفه,7alfeh
الشهر,el$hr
دافيه,dafeh
نوعان,no3an
مقارنه,mo8arneh
بيتي,bete
سلفتي,slfti
سلفي,slfi
اكبسك,akbsk
اوصلها,aw9lha
اجبنك,ajbnk
الماضيه,2lma9'eh
عارفيتني,3arfetni
يعينكم,y3enkom
ضروفو,9'erofo
بنعيدها,bn3edha
باصاتنا,ba9atna
الهجمه,2lhjma
باصتنا,ba9atnh
بتوصلك,btw9lk
بطلعش,b6l3$
رنيلي,rnele
خلصت,5l9t
عجقت,3j8et
التخرج,elt5roj
اجيكي,ajeki
لطيف,l6ef
انبسطي,enbs6i
سلفتك,slftk
يبسطك,ybstk
شلفقه,$lf8h
تدخل,td5ol
الحرام,el7ram
نفقها,nf8ha
ساكنه,sakneh
مريت,mret
علكه,3lkeh
مضافة,m9'afet
يجعلنا,yj3lna
المرزوقين,elmrzo8en
افصل,af9l
صحباتي,97bati
حبيباتي,7bebati
اخواتي,e5wati
التنسيق,eltnse8
كلية,kolet
الفنون,elfnon
ضيفة,9'eft
لقدم,l8dm
بمسرح,bmsrh
تغطيها,t3'6eha
قناة,8nat
ورشه,wr$eh
تنعرض,tn3rd
الحلقه,el7l8ah
مسجله,mosjleh
مباشر,moba$er
الدعوه,eld3oah
عامه,3ameh
تحظر,t76'r
المسرح,elmsr7
شجعوني,$j3oni
خصوصا,5sosan
الأحد,ela7d
مناسب,monaseb
اسلاك,2slak
المخمليه,2lm5mleh
عزمت,3zmt
استنو,estno
التاريخ,eltare5
اهدي,ehde
احضريه,279'reh
مقشعر,mg$3r
بيضيع,be9'e3
تنجحي,tnj7i
انتبهو,entbho
ضلو,9'lo
حصنو,79no
حالكم,7alkom
وولادكم,wwladkom
بيوتكم,byotkom
جيزانكم,jezankom
حبطرش,7b96rsh
مرتاح,merta7
بحسدو,b7sdo
الكلب,elklb
عافيته,3afeto
يحفضنا,y7fdna
عزابيات,3zabeat
مجوزات,mjozen
البقره,elb8rah
علاج,3elaj
احكولي,e7kole
اتهاوش,athao$
تسانديني,tsandene
اهاوش,ahao$
اصف,a9f
موقع,mo83
اعدلك,a3dlk
حفضتنا,7f9'tna
غيب,3'eb
سريعه,sre3ah
اقوالك,a8walek
طقعو,683o
ريحو,ry7o
طول,6ol
الريحه,elre7ah
طلعت,6el3t
تواضع,twa9'3
انقلعو,en8l3o
الحمامات,el7mamat
صغيره,s3'ereh
غازات,3'azat
ريحتكو,ry7tko
بعيده,b3edeh
اتحسرش,at7sr$
بخترعو,b5tr3o
اصبعي,e9b3i
اكتب,aktob
خطا,56a
اعمليلي,e3mlele
ببوس,bbos
مغلبه,m3'lbeh
نغير,n3'er
المحبه,elm7beh
ملكات,mlkat
الاحساس,el27sas
بتشوفوه,bt$ofoh
يدوم,ydom
عزك,3zk
نبض,nb9'
يغلبني,y3'lbni
الغيره,el3'ereh
بتنحسدي,btn7sdi
رايحه,ray7ah
ايمتى,2mta
رايحات,ray7at
العصر,el39r
زيزو,zezo
بتمزحي,btmz7i
خيرها,5erha
بغيرها,b3'erha
وقحه,we87ah
تلحسي,tl7si
مكه,mkah
عمره,3omrah
بنزعج,bnz3j
ثانيه,thaneah
اطمني,e6mni
يستقبلكو,yst8blko
يهمك,yhmk
مشعشعين,m$3$3en
نوركم,norkm
يلوح,ylo7
تصورو,t9oro
عيدوها,3edoha
يسعدكن,ys3dkn
حافظيتكم,7af6'etkom
يحماكم,y7makom
يجمعنا,yjm3na
لقيت,l8et
مسكته,msktoh
وسندته,wsndtoh
علشان,3l$an
اساعده,asa3do
المشي,elma$e
ودعيت,wd3et
ابعدي,eb3di
متزوج,mtzoj
وزوجتي,wzojti
معبيه,m3beh
عيني,3yne
الكلام,elklam
وصيتلو,w9etlo
قنينه,8neneh
ثانيه,thaneh
المكنسه,elmokneseh
البلاده,elbaladeh
بجامه,bejamah
مرقعه,mr83ah
فاتحه,fat7ah
الفيس,elface
تشوف,t$of
الجن,eljn
بتكتب,btktb
خوفتوني,5oftony
محشور,m7$or
بزاويه,bzaweh
الغرفه,el3'orfeh
المعوذات,elm3othat
طوله,6oloh
صارت,9art
النجاح,elnja7
توجيهي,twjehi
واعيد,wa3ed
اشتهيت,e$thet
الثقافه,elth8afah
العامه,el3ameh
المواد,elmoad
بتصير,bt9er
مشكلتو,mo$kelto
التجميع,eltjme3
قليل,8lel
تعب,t3b
بحاسب,b7asb
مجموع,mjmo3
تسلي,tsli
بغلب,b3'lb
تنجحي,tnjhi
يجيبلك,yjeblk
وصلوني,w9loni
منوره,mnorah
اجيتك,ajetk
يسعدها,ys3dha
المسيطره,elmo9e6reh
تربايتك,trbaytk
يوفقك,yof8ek
حابه,7abeh
متألقه,mt2l8ah
المراتب,elmrateb
اطيبك,a6ybk
يخليكي,y5leki
بنشوفك,bn$ofek
يهنيكي,yhneki
اقنعه,a8n3oh
يتزوج,ytzoj
خالو,5alo
وراح,wra7
يشوفها,y$ofha
النظره,eln6'rah
الشرعيه,el$r3eh
تعجبو,t3jbo
بيضا,by9'a
بتتخوثي,btt5othi
الشرع,el$are3
جوائز,joa2z
رساله,resaleh
مساعده,mosa3deh
قمره,8marah
سامح,same7
مكسوره,mksorah
الاشعه,ela$e3ah
مبلشه,mbl$eh
امسكيها,emskeha
الضربه,el9'rbah
بقعو,b83o
حفو,7fo
العمليه,el3mleh
الصبح,el9ob7
راجعين,raj3en
فايتين,fayten
السياره,elsearah
اعيط,a3y6
انهبلت,enhblt
ميته,myteh
الجهاز,eljehaz
ضعيف,9'3ef
الحمام,el7mam
مية,met
الروح,elro7
ابره,ebreh
ماتو,mato
فحصت,f79t
اشتري,a$tri
تجمد,tjmd
سجادتنا,sejadtna
النضافه,eln9'afah
الجاجه,eljajeh
الوطنيه,elw6neh
مبشرك,mb$rk
المستأجره,elmsta2jreh
استحت,est7t
قعدتهم,83dethom
بتنزلش,btnzl$
عطلي,36li
غيبي,3'ybi
تختين,t5ten
مقعطله,m836alah
