Arabic,Franko
تائبة,ta2eba
مستحمل,mesta7mel
انت,enta
صغيرة,soghayara
تائبة,ta2eba
باحثة,ba7esa
نورك,nourik
حاجة,7aga
متحيرة,mot7ayera
هزيمة,hazima
تشوف,tshof
متألقة,mot2alleqa
تعليق,t3li8
ثانية,saniya
عندي,3andi
مازلت,mazelt
عجبتها,3jbtha
البحار,elb7ar
بلا,balla
مصخم,ms5m
لحظة,la7za
روعه,ro3ah
ذكريات,zekrayat
خسران,khasran
بدخن,bd5in
حكايتنا,7ekayetna
متشائم,motsha2em
فنان,fannan
جبهتكم,jabhtkm
افتح,efta7
قلبك,2albik
صاحب,sa7eb
مقبوضة,ma2booda
صحية,sa7ya
أربعة,arba3a
مبكرة,mobakkera
قوي,qawy
لؤلؤ,lo2lo2
جديد,gdeed
بريئة,bare2a
التعب,elt3b
بطيء,baty2
لهفة,lahfa
ربنا,rabena
عشرة,3ashara
تجربيلي,tjrbele
كفاية,kfaya
جنب,ganb
صوتي,sawte
احم,27m
قلبها,albaha
زفة,zaffa
إحنا,e7na
تسريحه,tsre7ah
مطرة,motra
محروم,mahroom
شفت,shufet
جامدة,gamda
أمنية,omniya
طويلة,tawila
خير,kheir
اسلاك,aslak
صوتي,sawte
ضيفني,9'efni
اجوبتك,ajwbtk
متأكدة,mota2akeda
نقاط,n8a6
عينك,3einek
حالكن,7alkn
أمال,omal
متفرحة,metfara7a
عزيزات,3zezat
بطيء,baty2
صبحي,sob7yi
مجروح,magroo7
غيرانة,gheerana
اخلاق,a5la8
بتحطي,bt7ti
يصبرني,y9brne
دينه,deno
أبل,2bal
باحثة,ba7esa
غضب,ghadab
سيبني,sebny
بحلم بيك,ba7lambeek
لامع,lame3
ابعد,ab3ad
حد,7ad
أقرب,a2rab
هي,heya
فكرتها,fekratha
بعرفش,ba3rafsh
وياك,weyaak
يداوم,ydawem
بينت,bynt
تقديرها,ta2deerha
بعتذر,ba3tezer
بتزهق,btzhg
يطلقه,y6al8o
بتشوف,btshof
كل,koll
يعيبهن,y3ebehn
حضرتي,7adrte
قلتلك,2oltlak
بصلي,bsale
هي,heya
معجب,mo3gib
احكيلي,e7kily
ركبه,rkba
ملتزمه,mltzmeh
لؤلؤ,lo2lo2
أقوى,a2wa
زهره,zahra
جديد,gdeed
احنا,e7na
دوره,dorh
دقائق,da2aye2
منزليتها,mnzlytha
لمبه,lmba
بيرسلو,byrslo
زهق,zahag
ثابت,thabet
مازالت,mazalet
منتظرة,montazera
محترمات,mo7trmat
مقبوضة,ma2booda
أنساكي,ansaki
السنتين,elsntain
صريح,saree7
بقاله,ba2alo
تصبح,tesbah
أدبية,adabya
جديدة,gedida
عطشانة,atshana
قدام,oddam
ناس,nas
ما في,mafe
مبهرات,mbhrat
بتسمعيه,btsma3eh
بيمشي,bemshi
تسلمي,tesllame
جنبك,gambik
حبي,7obbi
عشقك,3ash2ak
مطرة,motra
بقاله,ba2alo
تحلفش,t7lfsh
لهفة,lahfa
مكسوف,meksouf
حسب,hasab
اضرب,a9'rb
مساء,masa2
دريت,dret
ذكرياتك,zekrayatak
سريع,saree3
مكتوب,maktob
متواصلة,metwasela
رايق,raye2
متعلق,mota3alek
مؤثر,mo2asser
غيرانة,gheerana
جنبك,gambak
قلبها,albaha
جدعان,gad3an
ستة,seta
مبسوطين,mabsooteen
شبعانه,$b3aneh
قلت,2olt
لأغير,la3'er
ذكرياتنا,zekrayatna
ضحكتك,da7ketak
متفائلة,motfa2ela
طويلة,tawila
محمر,mhmr
لحن,la7n
غيران,gheeran
تربيه,trabeh
بقدر,ba8der
قلبها,albaha
احتمالات,27tmalat
ناجحة,nag7a
مطمئنة,motma2ena
قولي,2olly
متعلق,mota3alek
غامض,ghamed
صوتها,sawtaha
غيرانين,ghayranin
غضب,ghadab
جعان,ga3an
صريحة,saree7a
عليهم,3lihom
كلي,kolly
مزارع,mzar3
سمعتي,sma3ti
تظيفه,t6'efo
زلمه,zalamh
احاول,a7awel
قرب,8rb
محتاجك,mehtagak
بركاته,brkato
مكشره,mkshra
هنود,hnood
تقدير,ta2deer
نادت,nadata
مجروح,magroo7
مساء,masa2
مطرة,motra
تحكيلها,te7kelha
أصيلة,asela
بحاول,ba7awel
سحاب,sahab
اسابيع,asabe3
قلبها,albaha
ذكرياتنا,zekrayatna
الفاصل,lfasel
ناجحة,nag7a
ذكريات,zekrayat
هانت,hanat
دموع,domoo3
ارجعلي,erga3li
عفى,3fa
خلوقه,5lo8ah
استني,estanni
بندم,bnadem
مطلوبة,matlooba
اسبوعين,esbo3een
متواصل,metwasel
عالأخر,3al2akhr
ثبات,sobat
دكانه,dkanh
مشهد,mashhad
معطلتك,m36ltk
حبي,7obbi
مستحيلة,mosta7ela
احكيلي,e7kily
ئصه,2esa
مطمئن,motma2en
فكرتك,fekretik
خاطبين,5a6ben
ناديني,nadini
ماضي,maady
بالغلات,bl3'lat
أربعة,arba3a
متفرحة,metfara7a
مشهورة,mashhoora
شيء,she2
قرارات,qararat
متأل,mt2l
صدق,sed2
ثبات,sobat
متألقة,mot2alleqa
منتظرة,montazera
غدارة,ghadara
خسرانة,khasrana
بايرات,bayrat
جبت,jabet
مبروك,mabrook
محتاجها,mehtagaha
توقعت,twag3t
مهندس,mohnds
أغاني,aghani
غلبة,ghalba
منتظر,montazer
أمنية,omniya
كلامه,kalamo
زهره,zahra
تخيل,t5yal
صحية,sa7ya
رايقة,ray2a
اصحك,es7ek
صادقة,sade2a
ست,set
مضطرة,motara
مقبول,ma2bool
مرتاحة,merta7a
مقبولة,ma2boola
انزل,enzel
رؤياك,ro2yak
دايماً,daiman
والمش,wlmsh
ماعز,ma3ez
بقاله,ba2alo
جزيلا,jazelan
لامع,lame3
منييح,mnee7
شوق,shaw2
غرقانة,ghar2ana
ثلاثة,talata
شوق,shoogh
خمسة,khamsa
مثالي,mesaly
اجوبتك,2jwbtk
عشقنا,3esh2ena
مجذوب,magzoub
ايش,aesh
فضي,feddy
دقائق,da2aye2
مقبوضة,ma2booda
ست,sitt
محتاجها,mehtagaha
تائب,ta2eb
واضحة,wad7a
صريحة,saree7a
واقعي,wake3y
راحتي,ra7ti
مدينتنا,mdentna
بعشقك,ba3sha2ik
بحاول,bahawel
غرقان,ghar2an
مستحيلة,mosta7ela
ناديني,nadini
محبوب,ma7boob
قلتلك,2oltlak
فضة,fadda
عجبك,3jbk
لئيت,l2eet
البقره,elb8rah
مطرية,motrya
سلامات,salamat
أمال,omal
لحظة,la7za
واقعي,wake3y
جيزانكن,jezankn
قلهم,2olhom
أمال,omal
موعد,maw3ed
متفرقة,motafare2a
متكسر,metkassar
مرسل,morsel
صغير,soghayar
متوفر,motwaffer
لساك,lesak
اعرف,e3raf
باحثة,ba7esa
تعيش,t3esh
مطرية,motrya
مكتوبة,maktooba
ازعاج,ez3aj
صوتك,sotak
اختيارات,ekhteyarat
أوقات,aw2at
دربينا,drbina
مخليك,m5lek
معايه,ma3aya
لامعان,lama3an
بقالها,ba2alha
حر,7oor
زاهق,zahe2
غدارة,ghadara
خضراء,khadra2
ذكرى,zekra
مقبول,ma2bool
مزيكا,mazyka
حكاية,7ekaya
متفائلة,motafaa2ela
متجوزة,motgawza
توجيهي,tawjehe
ابشر,absher
تخليها,t5leha
مكسوف,meksouf
دماغ,demagh
التسحيج,elts7ej
خسرانة,khasrana
بعشقك,ba3sha2ik
تلوموني,tlomoni
لتصحصحو,lt9a79e7o
السنه,lsneh
محتاجة,mehtaga
مميزات,momayazat
خطوبة,khotoba
مفروض,mafroud
ارجعلي,erga3li
مناظر,manazer
أنساكي,ansaki
متواصلة,metwasela
صادقة,sade2a
صريح,saree7
متألمة,mota2allema
اليوم,elyoum
دمعتك,dam3etak
مجروح,magroo7
قوليلي,8olele
مازالت,mazalet
مشغول,mashghool
محبوب,ma7boob
دخلكم,d5lkom
الهواء,elhwa
ايجبيك,ejebk
وياك,weyaak
قديمة,adeema
طلقة,tal2a
أنساك,ansak
اشوفك,2shofk
بحاول,bahawel
اعرف,e3raf
بقالي,ba2ali
برا,barra
عافيته,3afeto
الغندور,el3'andor
أغنية,aghnya
جليت,jalet
متأكدة,mota2akeda
منتظرة,montazera
عشقي,3ash2i
مشرف,mosharef
إصرار,esrar
خاينة,khayna
دقيقة,da2i2a
غيره,gheera
محروم,mahroom
صوتي,sawte
متألق,mot2alleq
استني,estanni
متألمة,mot2alema
صوتها,sawtaha
كلمة,kalema
دماغها,demagha
غدر,ghadr
محاولة,mo7awala
حياتي,7yate
لحظات,la7zat
أصيل,aseel
ضايعة,day3a
طلق,tal2
حبيت,7bet
بي,bye
عندهم,3ndhm
غامضة,ghamda
غالية,ghalya
مشرف,mosharef
قلب,qlb
باحث,ba7es
مقبوض,ma2bood
موتها,motha
مليحيه,mle7ea
متفائلة,motafaa2ela
مغفلين,m3'flen
لحظات,la7zat
مرسل,morsel
دمعة,dem3a
حبي,7obbi
يفرق,yfre8
مرغوب,marghoob
أصولة,asoola
مثالي,mesaly
جميل,gamil
داخليه,da5leh
يكتلها,yoktlha
ويأدرنا,wy2drna
هزيم,hazeem
اب,ab
محتاجك,mehtagak
محرومة,mahrooma
إخلاص,ekhlas
جديدة,gedida
طلقة,tal2a
بفهمش,bfhm$
احكيلي,e7kily
عئبال,32bal
خطوبة,khotoba
امك,emk
وياكي,weyaki
مغامرات,moghamarat
بقولك,ba2olek
مثالي,mesaly
مميز,momayez
توبة,tawba
عشق,3esh2
دقائق,da2aye2
سيبني,sebny
فقعت,f83t
هزيم,hazeem
مخلصة,mokhlesa
عطشانة,atshana
دمعتهم,dam3ethom
صوره,sora
شكلك,shklik
مستعجل,mesta3gel
السيره,elsereh
غلابة,ghalaba
متفرحة,metfara7a
مبسوطين,mabsooteen
ثبات,sobat
عطشانة,atshana
غلبة,ghalba
عليا,3alaya
جنبك,gambak
اسويلك,asawelk
متجوز,motgawez
سقط,s86
مخفية,makhfya
حلو,helw
لابات,labat
قلبك,2albak
دانا,dana
سيبني,sebny
سحاب,sahab
هو,howa
سكرنا,skrna
أغاني,aghani
مشهد,mashhad
غالية,ghaliyaa
عشق,3esh2
معناته,m3anata
بعتذر,ba3tezer
نفتحلنا,nfta7lna
أقرب,a2rab
حكايتنا,7ekayetna
متكسر,metkassar
بقالها,ba2alha
بياخه,bya5ah
محششه,m7$$eh
فضايح,fday7
متجوزة,motgawza
متجوزة,motgawza
صباح,saba7
مشغول,mashghool
فكرتك,fekretik
ارجعلي,erga3li
همس,hams
صوريه,9oreh
بنفسجي,banafsegy
ادنك,ednek
قديمة,adeema
النهاردة,naharda
أنساك,ansak
متفائلة,motafaa2ela
عجب,3jb
ولا,wala
تصبح,tesbah
تزعلش,tz3lsh
لون,lun
متواضعة,motwade3a
بقالهم,ba2alhom
مستحمل,mesta7mel
المعين,2lm3en
ارجعلي,erga3li
ماضي,maady
مقبوضة,ma2booda
فنانة,fannana
بتحطي,bt7oti
جنبك,gambik
تحدي,ta7ady
بعشقه,ba3sha2o
صحبه,9o7bah
دماغها,demagha
متكسر,metkassar
مشهد,mashhad
محتارة,mehtara
تحدي,ta7ady
متين,mateen
اديش,adesh
ملهم,molhem
مرسى,mersa
ذهبي,dahabi
مشهورة,mashhoora
ملهمة,molhema
مبروك,mabrook
ناديني,nadini
حد,7ad
ظايعين,6'ae3en
قلبك,2albik
متألقة,mot2alleqa
فراق,fora2
فكرتك,fekretak
موج,moog
مواقف,mawakef
وياك,weyaak
جداول,jdawl
ربنا,rabena
طلق,tal2
ولا,wala
نهاية,nehayet
ياجماعه,yajama3a
الجوز,eljoz
اطول,a6ol
البك,albik
سولفو,solfo
نسيم,naseem
مستغرب,mestaghrab
معاه,m3ah
صاحب,sa7eb
أقرب,a2rab
مستعجل,mesta3gel
بيناسبك,benasbek
فني,fany
جيبيها,jebeha
مشرفة,mosharefa
أيامهم,ayamhom
هزيم,hazeem
مطمئن,motma2en
صوتها,sotha
كبيره,kbeera
حياتي,7ayaty
سخيف,s5ef
ألف,alf
النهاردة,naharda
برد,bared
سامحة,same7a
لضربك,lathrubek
مليار,milyar
أنساك,ansak
سلام,salam
مغامرات,moghamarat
صرنا,sorna
مقبوضة,ma2booda
تحدي,ta7ady
البك,albik
سيبهم,sebhom
بريئة,bare2a
جنبك,gambak
اختي,o5te
ثواني,thwani
متضرر,motdarer
صباحه,sba7u
محتاجها,mehtagaha
سامحة,same7a
غضب,ghadab
موج,moog
بحكيلك,ba7kilik
جيه,geeh
أصل,asl
التنكه,2ltnaka
بداية,bedaya
المعوذات,elm3othat
واضحة,wad7a
بسالك,basa2lk
مميز,momayez
فني,fany
ارجع,2rja3
غرقان,ghar2an
مرغوب,marghoob
قسوة,qaswa
مشاركه,m$arkeh
ربنا,rabena
سيبه,seboh
أربعة,arba3a
صوتها,sotha
بحبكي,b7bke
جواد,jawad
اسمعي,2sm3e
ضايلك,daelk
مستقبل,mosta2bel
محاولة,mo7awala
واقعية,wa2e3ya
زكري,zakry
اتهاوش,athao$
مثالية,mesalya
ناسي,nasi
باحث,ba7es
مثالية,mesalya
هندسة,handst
مقبوض,ma2bood
مبروك,mabrook
محتاجة,mehtaga
منتظرة,montazera
متضررة,motdarera
ست,sitt
مقبولة,ma2boola
ملهمة,molhema
حبيبي,7abibi
رايق,raye2
رؤياك,ro2yak
دوّر,dawer
مليان,mlyan
مبسوطين,mabsooteen
بقاله,ba2alo
باحثة,ba7esa
أقل,a2al
لحدا,l7da
قمر,2amar
اشبه,ashbah
صغير,soghayar
غالب,ghaleb
بزحف,bz7f
محمد,m7md
ساقعة,sa23a
قلبك,glbk
عشرة,3ashara
جديدة,gdeeda
دقيقة,da2i2a
كفاية,kfaya
الثقه,althega
لأبوي,l2boi
بفكرني,bfkrni
نكد,nkd
جنبك,gambak
غضب,ghadab
محتاجك,mehtagik
محتاجك,mehtagik
لحالك,lhalk
محترمة,mohtarama
جوا,gowa
متفرق,motafare2
الارض,lared
باطل,ba6el
بحاول,bahawel
حمراء,hamra
طلاسيم,6lasem
حاجات,7agat
محترم,muhtram
تحلف,t7lef
زوئك,zu2ek
بيخ,be5
لحن,la7n
متوقعة,motawake3a
ملهم,molhem
عريس,3res
غيرانين,ghayranin
متجوز,motgawez
وياكي,weyaki
أهداف,ahdaf
أخبار,akhbar
مؤثر,mo2asser
حبيبي,7abeeby
الجذر,elj4r
باحثة,ba7esa
حفايتك,7faetk
وربحت,wrb7t
جريء,garee2
نجمة,nagma
مازلت,mazelt
عظيم,3azeem
اكلتهم,aklthum
لامع,lame3
سيبني,sebny
فضة,fadda
اخواني,e5wani
تنقرضو,tnqrdo
متحيرة,mot7ayera
فضة,fadda
فكري,fekry
لحظات,la7zat
استنى,estanna
يشوفني,y$ofni
مخزقين,m5za8en
لؤلؤ,lo2lo2
متألق,mot2alek
وحياة,we7yat
بتحبي,bt7be
قلتلك,2oltlak
يسهر,yshar
خسران,khasran
دوّر,dawer
جنبك,gambik
نسيني,nseni
مرسلة,morsela
متألمة,mota2allema
فراق,fora2
عزمت,3zmt
اجبرني,ajbarni
محاولة,mo7awala
متواضعة,motwade3a
سامحة,same7a
لطيفه,latefeh
حزينه,7zene
بعشقك,ba3sha2ik
جيه,geeh
مزيكا,mazyka
سيبهم,sebhom
بتخرب,bt5reb
واقعي,wake3y
أمنية,omniya
بعشقك,ba3sha2ik
سيبه,seboh
متين,mateen
تغفو,t3'fo
غامق,ghame2
المحروسه,elma7rosa
فرقة,fer2a
مشغوله,msh3'ole
حلو,helw
خالص,khales
سكينه,skeni
قوية,qaweya
متفرق,motafare2
صديقي,9ade8e
ضايعة,day3a
امتحاني,emt7ani
متعب,mot3eb
بتريد,btrid
فيران,feran
جيه,geeh
اربد,erbid
بكرة,bokra
متواضع,motwade3
ثانية,saniya
قدام,oddam
بوتغاز,botgaz
صريح,saree7
متلكو,metlko
غاد,3'ad
بواسطه,bwas6ah
خسران,khasran
خير,kheir
متواضع,motwade3
مستحملة,mesta7mela
مستعجل,mesta3gel
كوكب,kawkab
قوي,qawy
غيرانة,gheerana
رقمك,ra8amek
اشمط,2shm6
للمره,llmara
مستقبل,mosta2bel
بطلبو,b6lbo
راجل,ragel
سمره,samra
امان,aman
تطوع,t6o3
باحثة,ba7esa
محرومة,mahrooma
محتاجك,mehtagek
لحظة,la7za
ذكرى,zekra
محاولات,mo7awalat
متفائل,motfaael
غيران,gheeran
أهداف,ahdaf
عشقك,3ash2ak
ابتسامتي,abtsamte
بتتوقع,bttwq3
الزعبيه,alz3byh
بعيد,b3id
تحدي,ta7ady
ينجحك,ynj7k
متأكدة,mota2akeda
رايق,raye2
مغامرات,moghamarat
أدبية,adabya
بعد,b3d
بحر,ba7r
اشربو,2shrbo
ماالي,ma2ele
رسائل,rasa2el
أربعة,arba3a
مهندس,mohandis
سريع,saree3
زيه,zayo
تماماً,tamaman
بهر,bher
ضحكتك,da7ketak
مستحيلة,mosta7ela
مستغرب,mestaghrab
متضرر,motdarer
ذهبي,dahabi
زيتون,zitoun
فضايح,f9'aye7
استغفر,ast3'fr
فنان,fannan
احلامك,a7lamk
مثالي,mesaly
مشرف,mosharef
حلوة,7elwaya
خسرانة,khasrana
دموع,domoo3
صغيرة,soghayara
بنشتغل,bn$t3'l
ضايعة,day3a
بريئة,bare2a
بديعة,badee3a
محتار,mehtar
فكرت,fkart
عشرة,3ashara
غلابة,ghalaba
بقاله,ba2alo
بحاول,ba7awel
نفس,nfs
برا,barra
محتارة,mehtara
عليا,3alaya
متعب,mot3eb
لاغيه,la3'eh
خسرنا,5serna
أمال,omal
بريء,bare2
قرارات,qararat
زاهق,zahe2
يعطينا,y3tena
مرتاحة,merta7a
خضراء,khadra2
جاهزه,jahze
طيب,6eb
اختلفنا,khtlfna
دمعتك,dam3etak
وراح,wra7
هزيم,hazeem
محتارة,mehtara
ابعد,ab3ad
العاهات,el3ahat
الحزين,el7azen
بقدر,bqdr
متميزة,motamayza
متعلث,mt3lth
صوتهم,sawtohom
تماماً,tamaman
متشائمة,motsha2ema
بأدر,b2dr
فاصل,fasl
خسران,khasran
صوتها,sotha
حياتي,7ayaty
ثانية,saniya
ألف,alf
جميل,gamil
بنسفو,bnsfo
دماغ,demagh
منتظرة,montazera
التخريب,elt5reb
السيد,elsayed
جريئة,garee2a
يعرفني,ya3rafni
قاسية,qasya
يجي,yege
مفروض,mafroud
متى,mata
جيه,geeh
متألمة,mot2alema
ناس,nas
محتاجك,mehtagik
تحفة,to7fa
الفرحه,elfr7ah
أوقات,aw2at
مستغرب,mestaghrab
ضليت,6'let
نص,noss
زهره,zahra
مبرقع,mbrg3
متواضعة,motwade3a
مشغولة,mashghoola
مازال,mazal
فرحتيني,frhtini
حبك,7obik
مرغوب,marghoob
غيره,gheera
مكسوف,meksouf
بحكيلك,ba7kilek
ندمانة,nadmana
أربعة,arba3a
مصرة,mosera
بعملش,b3ml$
بريئة,bare2a
انتم,antom
مميز,momayez
بديعة,badee3a
ادرسي,edrosy
مبكرة,mobakkera
قلت,2olt
غلبة,ghalba
بقالها,ba2alha
كفاية,kefaya
يا قلب,ya2alb
عجبتك,3jabatek
كبيره,kbeera
ستة,seta
أنساك,ansak
سنتين,sntein
بشهي,b$ahi
محلاهن,m7lahn
بقالي,ba2ali
مشاعر,masha3er
متأكد,mota2aked
مواقف,mawakef
وبالي,wbali
موسيقى,mosika
اسود,aswad
هي,heya
خير,kheir
ناجحة,nag7a
دماغ,demagh
حلوة,7elwaya
متذكر,mt4kr
وابصر,wabsar
الشعر,el$3r
صوتي,sawte
بحبك,ba7ebak
لهفة,lahfa
طويل,tawil
برا,barra
فني,fany
مشغولة,mashghoola
روايات,riwayat
تحدي,ta7ady
محترمة,mohtarama
مستحيلة,mosta7ela
اسب,aseb
اجت,ajat
مستقبل,mosta2bel
متكسر,metkassar
محتار,mehtar
مبدئيا,mbd2en
موقف,mo8ef
افتح,2ft7
منتظرة,montazera
عظيم,3azeem
القهر,el8aher
مميزات,momayazat
نتعرف,net3araf
مستحمل,mesta7mel
متضرر,motdarer
نسيم,naseem
متفرحة,metfara7a
عشرة,3ashara
فكري,fekry
داهيه,daheh
متضررة,motdarera
محاولة,mo7awala
محتارة,mehtara
تتحل,tt7l
خاينة,khayna
مثالي,mesaly
جديد,gdeed
أصل,asl
صاحب,sa7eb
جمالهم,jmalhm
مقبوضة,ma2booda
طلقة,tal2a
ذكرى,zekra
تعبانة,ta3bana
مشهورة,mashhoora
مشرفة,mosharefa
كثرو,kthro
كفاية,kefaya
مشكلته,moshkelato
عضام,3dam
بالشكل,blshekl
حد,7ad
حياتك,7ayatk
مكتوب,maktob
البك,albik
متعلق,mota3alek
السلط,elsal6
مقطوعه,m86ou3h
جواز,gawaz
انتي,enti
غلبتك,3'lbtk
مخلصة,mokhlesa
اختيارات,ekhteyarat
أوي,awy
فيه,feh
استنى,estanna
متجوزة,motgawza
قلبك,2albik
صوتهم,sawtohom
اليدوي,elyadawi
جدعان,gad3an
بطيء,baty2
دايماً,daiman
غادرت,3'adrat
أدبية,adabya
اشتا,asheta
رسائل,rasa2el
متأكد,mota2aked
تصخين,t95en
ملحقه,ml78ah
متواصلة,metwasela
نجمة,nagma
نص,noss
وحشتني,wa7ashteny
نفسيه,nafsih
جامد,gamed
مازالت,mazalet
حكاية,7ekaya
لم,lm
متواصل,metwasel
ما,ma
زهره,zahra
منتظرة,montazera
غسلت,3'salet
قوية,qaweya
قرارات,qararat
غدر,ghadr
فكرتك,fekretik
نورك,nourik
اضل,a9'l
يحفضه,ya7fdhou
ذكيه,4keh
بحر,ba7r
طريق,taree2
سحاب,sahab
حاجات,7agat
بعتذر,ba3tezer
مشاعر,masha3er
بطيقني,bti8ni
ارجع,erga3
نورك,nourik
تطلق,t6ala8
توصي,tw9i
قولي,2olly
تعالي,t3ale
متأخرة,mot2akhra
مشرف,mosharef
سحاب,sahab
مازلت,mazelt
حبنا,7obena
مؤثرة,mo2assera
صادق,sade2
أغاني,aghani
قسطه,896oh
أصولة,asoola
زكري,zakry
مرتاحة,merta7a
يعيدها,y3edha
ثبات,sobat
وعدك,wa3dak
مستحملة,mesta7mela
لحظات,la7zat
فخادنا,f5adna
يمضيها,ym9'eha
تحدي,ta7ady
تنسى,tnsa
تحسدني,t7sdni
غايب,ghayeb
بخصك,b5sk
قوي,qawy
بيها,biha
تركه,trko
سلام,salam
رايقان,ray2an
مطلوبة,matlooba
دايماً,daiman
جايلك,jailek
عاليه,3alyeh
متواصل,metwasel
نازل,nazel
بالمحلات,blma7lat
أهداف,ahdaf
يحبس,e7bis
غامق,ghame2
الخسران,l5sran
مبسوطه,mbso6a
بحكيلك,ba7kilik
متألقة,mot2alla2a
مخفية,makhfya
واقي,wa8i
متألق,mot2alleq
أهداف,ahdaf
دقيقه,da8e8a
إخلاص,ekhlas
صرلي,sarle
ذهبي,dahabi
شعراتك,$3ratk
ثابت,thabet
ارجع,erga3
يحاول,yhawel
نجمة,nagma
حاجة,7aga
جديد,gdeed
مرغوب,marghoob
مستحيلة,mosta7ela
لؤلؤ,lo2lo2
النوع,elno3
اقعد,ag3oud
فكرتها,fekratha
الصيف,el9eef
رؤياها,ro2yaha
مشرف,mosharef
اكسسوارات,ekssoarat
ريحتهن,re7thn
تناحه,tna7ah
يمين,yemeen
نيتك,naytak
بندوره,bandora
فضولك,fdolk
عشرة,3ashara
بوعدكو,bw3dko
جديدة,gedida
دموع,domoo3
لؤلؤ,lo2lo2
أغاني,aghani
أعز,a3z
أقرب,a2rab
بحكيلك,ba7kilik
صوتك,sotak
زفة,zaffa
استني,estanni
معجب,mo3gib
مؤثرة,mo2assera
جامد,gamed
جدعان,gad3an
بعيد,b3eed
دمعة,dem3a
شيء,she2
بهجة,bahga
نص,noss
اخبركم,a5brkm
متأكد,mota2aked
ابعد,ab3ad
محبوب,ma7boob
مواقف,mawakef
ريحة,re7t
غراض,3'ra9'
مشهد,mashhad
فني,fany
دبه,dobh
تمارين,tamarin
مجذوبة,magzooba
عايشه,3ayesha
عروسة,3arousa
نسيم,naseem
كلنا,kollena
مجالي,majali
مستعجل,mesta3gel
حمراء,hamra
دايماً,daiman
مبكرة,mobakkera
أقرب,a2rab
لحظة,la7za
غنائي,ghena2y
بعشقك,ba3sha2ak
بتختفي,bt5tafi
ثلاثة,talata
مازلت,mazelt
بكرهك,bkrahek
ارجعلي,erga3li
سلف,salaf
شهم,$hm
منه,menou
مشاركه,m$arkah
متكسرة,motakassera
مشغول,mashghool
صوتك,sotak
معرمط,m3rm6
تقديرها,ta2deerha
بلقيس,blqes
الوقت,elwaqt
أمنية,omniya
طلقة,tal2a
بهجتي,bahgaty
مجذوب,magzoub
مستعجل,mesta3gel
ارجعلي,erga3li
ماسيبش,masibsh
نجمة,nagma
لحظات,la7zat
ولا,wala
شي,she
ناديني,nadini
سلام,salam
غدر,ghadr
رؤياها,ro2yaha
متفائل,motfaael
دلوقتي,delwa2ti
الكلب,elkllb
كبيره,kbeera
طريق,taree2
منتهية,montaheya
مبينه,mbaynih
بقالها,ba2alha
بحكيلك,ba7kilik
فرجيني,frjene
سحاب,sahab
غيران,gheeran
حالاتي,7alate
اعدلك,a3dlk
بيقولولك,beyoulolek
خجلتيني,5jltene
دوّر,dawer
أهداف,ahdaf
جعبالي,j3bali
كلامه,kalamo
صريح,saree7
بنعنع,bn3n3
صوتي,sawte
صغيرة,soghayara
بتعرفيه,bt3rafeh
عزيمة,3azema
مسافرة,msafra
مطمئنة,motma2ena
تصبح,tesbah
مستحمل,mesta7mel
بالعكس,bel3aks
دماغ,demagh
تائبة,ta2eba
هزيم,hazeem
جدعة,gad3a
امسكيها,emskeha
وياكي,weyaki
مرغوب,marghoob
جريئة,garee2a
حبيبي,7abibi
يلا,ylla
شيء,she2
رايق,raye2
محتارة,mehtara
جيه,geeh
البك,albik
نهاية,neheya
شوق,shoogh
مطرية,motrya
ملهم,molhem
مطرة,motra
غرقان,ghar2an
جدعان,gad3an
موسيقى,mosika
محتاجك,mehtagik
معاكي,ma3aki
عفوفو,3afofe
الحي,el7ay
محتاجك,mehtagek
حلو,helw
متوقع,motawa2e3
موجود,mawjood
مكسوف,meksouf
مرتاحة,merta7a
ساقية,sa2ya
المعطر,elmo3a6er
سامحة,same7a
بدفعو,bdf3o
سحاب,sahab
بعترف,b3taref
صعب,93b
بتشلق,btshl8
فنانة,fannana
خضراء,khadra2
بتحاقرو,bet7a8aru
باحثة,ba7esa
جامعه,jm3a
استعدو,est3edo
حبي,7obbi
تسكت,tskut
معقده,mo3a8deh
جامدة,gamda
مستحملة,mesta7mela
أخبار,akhbar
معجب,mo3gib
عزيمة,3azema
نروح,nrwwe7
متفرحة,metfara7a
مكتوب,maktob
فرقة,fer2a
متضررة,motdarera
واقعية,wa2e3ya
اهلين,2hleen
بعيداً,ba3eedan
باي,b2y
بمحله,bm7la
محتارة,mehtara
نفسيين,nafsiyan
متكسرة,motakassera
جميل,gamil
غامض,ghamed
ساقعة,sa23a
غلبة,ghalba
بقالهم,ba2alhom
يرجعلي,yrj3lee
يارا,yara
ماضي,maady
ثلاثة,talata
شكل,shkil
فكرتك,fekretik
فصول,fosool
طلقة,tal2a
بريء,bare2
قلبك,2albik
غضب,ghadab
خسران,khasran
سامحة,same7a
خمسة,khamsa
صاحب,sa7eb
خامسه,khamsh
بالجامعه,bljam3a
متألمة,mot2alema
دوّر,dawer
مشرف,mosharef
موسيقى,mosika
بتنوصف,btnwsf
محتاج,mehtag
محاولة,mo7awala
بوجودكم,bwjodkom
وياكي,weyaki
نورك,nourik
ست,set
بتأمن,bta2mn
الوقت,elaw8at
مرسلة,morsela
زرع,zre3
متفائل,motfaael
متعلمه,mt3lmih
بحاول,bahawel
لامع,lame3
عقبال,w38bal
اهدنا,ehdina
