Arabize,Arabic
jawbeni,جاوبيني
andaflak,انضفلك
bark,بارك
b3deha,بعديها
2mal,امل
mskaki,مسكاكي
jsmha,جسمها
matfahmin,متفاهمين
amin,امين
saf,صف
eyahom,اياهم
khorafe,خرافي
8lbaty,قلباتي
ashufik,اشوفك
irbad,اربد
algorithm,الغورثم
kbereh,كبيره
tikhaliwni,تخلوني
b2a5er,بأخر
bskr,بسكر
bo6'h,بوظه
laynzl,لينزل
ywafe8,يوافق
mato,ماتو
elmafra8,المفرق
w8e7,وقح
absher,ابشر
8olole,قولولي
2lg6hn,القطهن
lldfa3,للدفاع
9'7kty,ضحكتي
2oltelak,ألتلك
halla2,هلأ
eljmhor,الجمهور
7bl,حبل
snafer,سنافر
tratbiha,ترتبيها
wahdi,وحدي
aw8at,اوقات
2ldod,الدود
3aroos,عاروس
wd3et,ودعيت
bmdrste,بمدرستي
takhasosat,تخصصات
3rfna,عرفنا
wsndtoh,وسندته
2lmadeh,الماده
bmshesh,بمشيش
elmostanbt,المستنبط
onshoreli,انشرولي
$klo,شكلو
bta3rafoh,بتعرفوه
elt3reef,التعريف
lun,لون
negraha,نقرأها
b2dr,بأدر
er7mk,يرحمك
la6efeh,لطيفه
jamell,جميل
y863hom,يقطعهم
oktob,اكتب
takeef,تكييف
ala3'lab,الاغلب
btt3wad,بتتعوض
bllel,بلليل
2fz3li,افزعلي
lesathom,لساتهم
b7ko,بحكو
bt7bsh,بتحبش
elmalame7,الملامح
knafe,كنافه
9ra7ah,صراحه
7alkm,حالكم
dikaryt,ذكريات
3ena,عنا
ablin,أبلين
b3rafek,بعرفك
btrn,بترن
7a8e8a,حقيقه
bt7eseha,بتحسيها
el3a2leh,العائله
tbekh,طبيخ
benak,بينك
m7beh,محبه
elsejod,السجود
bb9omlk,ببصملك
ahln,اهلا
3omrak,عمرك
t3btkm,تعبتكم
lameen,لمين
nag9etk,ناقصتك
sorty,صورتي
ba36el,بعطل
ljded,الجديد
bikoum,بيكم
roh,روح
3otltk,عطلتك
eln6'rah,النظره
el5ll,الخلل
mu7taram,محترم
bg9'it,بقضية
3lbe3,عالبيع
lu3'h,لغه
fekii,فيكي
2ltnaka,التنكه
she5,شيخ
tkoni,تكوني
bn$6b,بنشطب
df3na,دفعنا
bljm3eh,بالجمعيه
3'yrt,غيرت
bt7a8e8i,بتحققي
cakeh,كيكه
jawdat,جودت
$okran,شكرا
yhmak,يهمك
hnyalk,هنيالك
rayb,رايب
63m,طعم
afhmo,افهمو
bt3rfne,بتعرفني
a7otha,احطها
7alek,حالك
mo3adalatkm,معدلاتكم
5bet,خبيت
97t,صحة
be3hm,بيعهم
abshr,ابشر
b5liha,بخليها
b2r8el,بأرقل
b7b$,بحبش
wbt8l36,وبتقلعط
ma3rfti,ماعرفتي
ntfaham,نتفاهم
5rejh,خريجه
yt3kr,يتعكر
wajb,واجب
btfrek,بتفرق
haha,هاها
majnounh,مجنونه
elmakeaj,المكياج
yoaf8k,يوفقك
tal3lek,طالعلك
brdik,برضيك
wlmsh,والمش
b7wel,بحول
tsogi,تسوقي
8oltly,قلتلي
6ar$h,طارشه
salini,سليني
l7alo,لحالو
t8raha,تقرأها
twag3t,توقعت
ma$akel,مشاكل
moza,مزه
btksbi,بتكسبي
shraideh,شريده
a36eto,اعطيته
lawla,لولا
6l3o,طلعوا
m6a7n,مطاحن
3asabi,عصبي
marmata,مرمطة
btkyef,بتكيف
rj3to,رجعته
raf3tli,رفعتلي
hala2,هلأ
ma7llak,محلاك
a6$,اطش
tsaba7,تصبح
n7rj,نحرج
mskrh,مسكره
mfrod,مفروض
mbly,مبلي
m3brtk,معبرتك
fatra,فتره
g6ar,قطار
tsdgi,تصدقي
3li,علي
jaremeh,جريمه
b3tolo,بعتولو
aljmajem,الجماجم
m5tneg,مختنق
kazabeh,كزابه
m7trmen,محترمين
3alikum,عليكم
bthat,بالذات
moteha,موتيها
m3i,معي
7oreyat,حريات
t7o6e,تحطي
32sas,عأساس
esht8tlkom,اشتقتلكم
zb6t,زبطت
y7mak,يحماك
bejamah,بجامه
3mltk,عملتك
btfs8n,بتفسقن
flm,فلم
6o6,طوط
5abera,خبيره
btthbl,بتتهبل
mskreh,مسكره
btajweb,بتجاوب
d7kitha,ضحكتها
el29ala,الاصاله
l2eet,لئيت
bn9hek,بنصحك
ma3ndi,ماعندي
as7b,اسحب
tday8t,تدايقت
alfati7a,الفاتحه
b3trif,بعترف
a2dem,أأدم
muafg,موفق
hl,هل
5a6eb,خطيب
ya5y,ياخي
7ketle,حكيتلي
hanat,هانت
sha6er,شاطر
marag,مرق
helweh,حلوه
ao8sem,اقسم
lh6a,لهطه
mosta$fa,مستشفى
kashra,كشره
er7mona,ارحمونا
5altk,خالتك
da5l,دخل
alby,ألبي
mn6'r,منظر
b5dak,بخدك
3aqedeh,عقيديه
febaly,فيبالي
s7lb,سحلب
2e7temal,احتمال
entba3,انطباع
tasjeel,تسجيل
bt7beni,بتحبيني
masayb,مصايب
nawen,ناويين
zyadet,زيادة
btd5n,بدخن
b5jal,بخجل
yabdo,يبدو
m3jbih,معجبه
tazkeer,تزكر
t3dmi,تعدمي
raw7et,روحت
akthr,اكثر
m9a7a,مصحه
3sh8tk,عشقتك
t3le8,تعليق
llbnt,للبنت
yjebha,يجيبها
bl3a$rah,بالعشره
keef,كيف
t8blo,تقبلو
r8mi,رقمي
tanyah,تانيه
nftre9',نفترض
mnk,منك
m9areh,مصاريه
wasa3,وسع
sa7i,صاحي
7atet,حاطط
bitrudesh,بترديش
taware5hom,تواريخهم
sibb,سب
inta,انت
msha5seh,مشخصه
jayike,جايكي
b79'r,بحضر
btbd2,بتبدأ
y36eni,يعطيني
bdw,بدو
t9ebne,تصيبني
8eset,قصة
lmfrud,المفروض
2ltawjehe,التوجيهي
bkoun,بكون
97batha,صحباتها
3agli,عقلي
2l7mam,الحمام
israa,اسراء
mohem,مهم
smet,سميت
nj7ti,نجحتي
bkfi,يكفي
7bibti,حبيبتي
wbet,وبيت
3l$an,علشان
habebtch,حبيبتج
bnbst,بنسبة
b3rfhash,بعرفش
$3rha,شعرها
sm3e,سمعي
a9ln,اصلا
7awel,حاول
3ndo,عنده
w7di,وحدي
ttmaneen,تتمنين
3rm6,عرمط
b7bha,بحبها
jre2ah,جريئه
ma38ol,معقول
f3na,فعنا
3aleek,عليك
wrjeni,ورجيني
tt8lad,تتقلد
eb3dna,ابعدنا
lasatna,لساتنا
es7k,اصحك
nmti,نمتي
23'ra9'e,اغراضي
thaneah,ثانيه
m3isssh,معيش
khawaldeh,خوالده
haseto,حسيته
mkt2b,مكتئب
raw3ah,روعه
m7arem,محرم
b3refoh,بعرفه
dobat,دبات
elbe6a8ah,البطاقه
ka2enw,كأنو
elwes5ah,الوسخه
btnamy,بتنامي
modminaty,مدمناتي
ro3b,رعب
la2ene,لأني
b3t8ed,بعتقد
doro,دورو
masak,مساك
btnket,بتنكت
5b9ti,خبصتي
b3shghm,بعشقهم
twad7le,توضحلي
ahlaha,احلاها
m8l36,مقلعط
adabe,ادبي
tshufeni,تشوفيني
5jltene,خجلتيني
4bana,ذبانه
faj3ani,فجعانه
7lgtele,حلقتيلي
7rameh,حراميه
kolak,كلك
tsb7,تسبح
a5eran,اخيرا
lmba,لمبه
bthebe,بتحبي
bt3'fi,بتغفي
tab3i,تبعي
7keti,حكيتي
tshofene,تشوفيني
zayo,زيه
w8lt,وقلة
sbah,صباح
nzlti,نزلتي
btkrhak,بتكرهك
mjroush,مجروش
nasyteha,ناسيتها
krem,كريم
sa7,صح
sho3beh,شعبه
a3'albk,اغلبك
fokek,فكك
rd3,ردع
yndrs,يندرس
25bthak,اخبثك
yzlme,يازلمه
7awli,حولي
mfroum,مفروم
b3rd,بعرض
2fham,افهم
m6g3,مطقع
7kina,حكينا
menha,منها
af6rna,افطرنا
nzlt,نزلت
eldorah,الدوره
taza,تازا
lhale,لحالي
rda7a,رداحه
en6mn,انطمن
elbasi,البسي
we87at,وقحات
bkrahek,بكرهك
sot,صوت
shea6en,شياطين
to6b5o,تطبخوا
mwafa2ein,موفئين
mo3taz,معتز
jens,جنس
zayeek,زيك
blkrk,بالكرك
elyoum,اليوم
tatb5i,تتطبخي
elnjaseh,النجاسه
2w7ena,اوحينا
be7eso,بحسه
fasdeen,فاسدين
mzbo6,مزبوط
fadyh,فاضيه
elwa8e3,الواقع
msajelhm,مسجلهم
r7na,رحنا
bthmo,بثمه
t3baneh,تعبانه
ankosh,انكش
alnbe,النبي
mlet,مليت
t3ale,تعالي
bt25r,بتأخر
a5oatoh,اخواته
6beb,طبيب
btkhrbsh,بتخربش
5l8tk,خلقتك
5amseen,خمسين
e3jabi,اعجابي
hana2,هناء
7ta,حتى
tet2a5r,تتاخر
bstnakm,بستناكم
3'yranen,غيرانين
t3fne,تعفني
56ebi,خطيبي
3afofe,عفوفو
masla7a,مصلحه
dictatory,ديكتاتوري
jdedh,جديده
gaith,غيث
khudlak,خذلك
bl$e,بلشي
wrdh,ورده
mt3alemli,متعلملي
m8hor,مقهور
edman,ادمان
mt7amseh,متحمسه
elqaoon,القانون
bljded,بالجديد
ae,اي
ktbt,كتبت
shrakah,شراكه
yebsetak,يبسطك
mkroh,مكروه
3'eran,غيران
mtfr3n,متفرعن
gsdha,قصدها
tjawib,تجاوب
3alyeh,عاليه
6a3tkom,طاعتكم
9reh,صريح
ta3'at,تاغات
t3ynat,تعينات
gdeesh,قديش
amera,اميره
ibtila2,ابتلاء
aflel,افلل
5aleje,خليجي
dobah,دبه
makhdeh,ماخذه
bozak,بوزك
$dogk,شدوقك
5aleha,خليها
mnwafer,منوفر
mosalsal,مسلسل
y3thbni,يعذبني
n5l9,نخلص
yafta7h,يفتحه
m$6ay8,مشطايق
btthakar,بتذكر
ashmo6ak,اشمطك
bkhlesh,بخليش
btswe,بتسوي
mahowa,ماهو
sadegi,صديقي
$ofti,شوفتي
lsane,لساني
mnsaf,منسف
6lbet,طلبية
btla8eha,بتلاقيها
ro7ti,رحتي
altanieh,التانيه
ferhana,فرحانه
baba,بابا
amt7ano,امتحانو
m7laha,محلاها
wfy,وفي
mzaji,مزاجي
b8aref,بقرف
7fleh,حفله
omrek,عمرك
athbit,اثبت
kharjeyeh,خارجيه
fki,فكي
7rkaatk,حركاتك
jrbthn,جربتهن
r9'eet,رضيت
a5bar,اخبار
el6l3at,الطلعات
do8e,دقي
fargah,فارقه
elwajbeh,الوجبه
t3bt,تعبت
nhar,نهار
6aye8ni,طايقني
7asestak,حاسستك
yroh,يروح
blmwdu3,بالموضوع
2tfh,اتفه
loghneyeh,الاغنية
thanyeh,ثانيه
3eon,عيون
jai,جاي
swyh,سويه
byat,بيات
lfet,لفت
bla3bhum,بلاعبهم
n3as,نعس
tnz3j,تنزعج
e5dik,اخذك
ftra,فتره
gadou,قده
af7mtne,افحمتني
kanat,كانت
aljaltah,الجلطه
saleni,سليني
fdi7a,فضيحه
ajaneb,اجانب
limin,لمين
na8eb,نقيب
khfif,خفيف
$ra$ef,شراشف
r7ltha,رحلتها
8r3h,قرعه
2l2nt5abat,الانتخابات
slamtk,سلامتك
btkrhom,بتكرهم
dert,ديرة
b7ajeh,بحاجه
t7mlli,تحملي
mshta2,مشتاء
3mltha,عملتها
yesker,يسكر
7lqa,حلقه
labis,لابس
2ljame3,الجميع
9oret,صورة
b3r9'k,بعرضك
m5msh,مخمش
golele,قوليلي
labee2,لابئ
bhdlni,بهدلني
nchallah,انشاءالله
mortabeta,مرتبطه
muhndes,مهندس
y6lbk,يطلبك
$oftha,شوفتها
3eno,عينه
bshar,بشار
wa6e,واطي
a8olak,اقلك
el$3'l,الشغل
9'edo,ضده
mbyen,مبين
bfard,بفرض
3ajbtk,عاجبتك
y8drone,يقدروني
asmy,اسمي
klyte,كليتي
89tek,قصتك
asjlha,اسجله
2ywa,ايوه
$a3'rh,شاغره
eswarti,اسوارتي
fls6enyeh,فلسطينيه
a7kellak,احكيلك
elsayed,السيد
9'erofi,ضروفي
mkhlsen,مخلصين
l2boi,لأبوي
blbsha,بلبسها
nabe3'ah,نابغه
wrakm,وراكم
ykouno,يكونوا
mo$kelto,مشكلتو
shrsh7ni,شرشحني
anak,انك
amt7n,امتحان
rafa3tili,رفعتيلي
jahzi,جهزي
5aliky,خليكي
irbid,اربد
3aroseh,عاروسه
el6wel,الطويل
weah,وياه
mnou,منه
elrajem,الرجيم
fekom,فيكم
yhneeko,يهنيكوا
zna5tk,زناختك
3lmktbeh,عالمكتبه
nseet,نسيت
wkol,وكل
elaf9'al,الافضل
la6l3,لاطلع
b38lha,بعقلها
waktha,وقتها
y7bha,يحبها
89'amh,قضامه
bdomni,بضمني
2krbehn,اكرببيهن
omourina,امورنا
e$taraket,اشتركت
asa3edhom,اساعدهم
ryadyat,رياضيات
ajawib,اجاوب
el3afiah,العافيه
ta3malha,تعملها
btoktoby,بتكتبي
ra7mh,رحمه
7asharat,حشرات
el6a8h,الطاقه
btdwre,بتدوري
elik,الك
23mali,اعملي
tehreehom,تهريهم
yahko,يحكوا
jawabet,جاوبت
e3malo,اعملوا
bsl3n,بسلعن
m3e,معي
bntahi,بنتهي
slm,سلم
santain,سنتين
sh5setha,شخصيتها
fal7en,فالحين
j7a,جحا
3mlili,عمليلي
yb3tho,يبعثو
7rarah,حراره
ukhtk,اختك
frawlah,فروله
thnwe,ثانوي
ze7i,زيحي
rk3ten,ركعتين
tfa3l,تفاعل
a6b5,اطبخ
bejlo6,بجلط
brtgal,برتقال
sortk,صورتك
mt3l8,متعلق
dammak,دامك
kbran,كبران
dwa2r,دوائر
tkon,تكون
sa7ebti,صاحبيتي
nefta7,نفتح
$a7en,شاحن
mbarke,مباركه
b7yati,بحياتي
awaleto,اوليته
bikafi,بيكفي
elfra6ah,الفراطه
ma3k,معك
monsbeh,مناسبه
m7tajin,محتاجين
l7ta,لحتى
9ag6ah,ساقطه
lma5adeh,المخده
y5aliki,يخليكي
9'7ktk,ضحكتك
3wjak,عوجك
lwesh,لويش
5lyna,خلينا
tw9l,توصل
mskto,مسكته
y7fdk,يحفضك
3o6rek,عطرك
fayten,فايتين
6b5at,طبخت
ayak,اياك
7flet,حفلة
mab89r,مابقصر
kremah,كريمه
9ra9er,صراصير
blzmkesh,بلزمكيش
3'aseel,غسيل
ol8owa,القوة
mazen,مازن
et8aledhom,اتقلدهم
7sreto,حسرته
erbid,اربد
na97,ناصح
elaz8een,الازقين
5al9en,خالصين
t9'lk,تضلك
yna8lak,ينقلك
kbrna,كبرنا
lisatek,لساتك
omneyt,امنية
7a8ed,حاقد
3j8ah,عجقه
khwat,خوات
elftneh,الفتنه
balshe,بلشي
eljamelh,الجميله
maknto,مكانته
fato,فاتو
wa3sab,واعصاب
2a8su,اقصو
jarah,جراح
nomra,نمره
m89'm,مقضم
ghorfa,غرفه
yer7am,ياحرام
babllash,ببلاش
23'la,اغلى
5wefh,خويفه
bhlbld,بهالبلد
sme6a,سميطه
b9'7k,بضحك
galbk,قلبك
ymkn,يمكن
3'beh,غبيه
a59,اخص
khamsh,خامسه
elhna,الهنا
el3afeh,العافيه
9de8e,صديقي
$a59ek,شخصك
en7arag,انحراج
zen5h,زنخه
mwse3,موسع
3arfni,عارفني
tfaselha,تفاصيلها
maskeh,ماسكه
blashto,بلشتوا
a5baroh,اخباره
5elene,خليني
naj7,ناجح
yeslamle,يسلملي
b7mro,بحمرو
byfham,بيفهم
el7o9on,الحصن
bt8dr,بتقدر
5ibrh,خابره
tfg3,تفقع
elazea2,الازياء
elth8afah,الثقافه
3lmyeh,علميه
thke,تحكي
mftol,مفتول
3a2sas,عاساس
zar6,زارط
m$3'len,مشغلين
hjum,هجوم
9a3eb,صعب
2tl3thm,اتلعثم
btkono,بتكونوا
elmo7tem,المحتم
alfull,الفل
3azemtini,عزمتيني
bista7i,بتستحي
akon,اكون
krakeh,كركيه
j3aber,جعابير
idawem,إداوم
6b$orah,طبشوره
klha,كلها
7setha,حاسيتها
kateb,كاتب
habibati,حبيباتي
knt,كنت
elmzbleh,المزبله
snan,سنان
5rban,خربان
br9'o,برضو
btelbese,بتلبسي
aya,ايه
bmz7$,بمزحش
haram,حرام
lktab,الكتاب
lawen,لوين
fa6meh,فاطمه
el3ajen,العجين
3yone,عيوني
y7ot,يحط
btrsom,بترسم
tf3len,تفعلين
mskon,مسكون
y5srni,يخسرني
be3lam,بيعلم
wen3ad,وينعاد
bazabet,بزبط
flefla,فليفله
ehsas,احساس
e7kelha,احكيلها
kulhn,كلهن
bf9'a7,بفضح
8a3d,قاعد
ghanem,غانم
mo3anah,معاناه
jebt,جيبت
3rftik,عرفتك
lateef,لطيف
5ofi,خوفي
ya3,ياع
8a3id,قاعد
ela,ألا
esbo3een,اسبوعين
bel7aweh,بالحاويه
l25r,لأخر
ygro9ne,يقرصني
slafi,سلافي
tfadali,تفضلي
w6eti,وطيتي
tsa7b,تسحب
monther,منذر
23tana,اعطانا
bt3ale8,بتعلق
habobti,حبوبتي
jumlh,جمله
e3tbir,اعتبر
s3id,سعيد
intam,انطم
tms7i,تمسحي
a3tbreha,اعتبريها
3mame,عمامي
shufi,شوفي
jwabk,جوابك
$3'li,شغلي
tbibi,طبيبي
3ayshin,عايشين
a$ofha,اشوفها
3alih,عليه
7eate,حياتي
llmona6'meh,للمنظمه
bla,بلا
yeshof,يشوف
btftft,بتفتفت
hadeyto,هديته
3ealh,عيله
sadi8ti,صديقتي
7kena,حكينا
b3lmk,بعلمك
hon,هون
el3esha,العشى
mwafa2a,موفئه
nethena,نتهنا
n2rgel,نارقل
mlait,مليت
brmjeat,برمجة
blordon,بالأردن
ydwer,يدور
mazna5ak,مزنخك
hl2yam,هالايام
mze7,مزيح
tt3'azl,تتغزل
bsa7bsh,بصاحبش
elkfterya,الكفتيريا
nakad,نكد
mabrouk,مبروك
$r6y,شرطي
ma5ale8,مخاليق
6oseh,طوسه
so2,سوء
bs5nn,بسخنن
56btha,خطبتها
ynzel,ينزل
drore,ضروري
bdenya,بدنيا
shouf,شوف
5l9anh,خلصنه
trkya,تركيا
sm7t,سمحت
l3tma,العتمى
ikhwatak,اخواتك
btlh8,بتلحق
lo3be,لعبه
llestefsar,للاستفسار
thanawe,ثانوي
6hor,طهور
haboubtii,حبوبتي
bte3rafe,بتعرفي
doami,دوامي
9ba7k,صباحك
btfgdek,بتفقدك
jabk,جابك
el$k,الشك
3arfek,عارفك
6ob,طوب
amoor,امور
masameer,مسامير
a5tem,اختم
btrid,بتريد
msahbeh,مصاحبه
nmtm,نمتم
ynawem,ينوم
mt3ajez,متعاجز
zakeen,زاكين
b8owl,بقول
mt5le,متخلي
tfakrna,تفكرنا
2r7mni,ارحمني
betk,بيتك
2l2ar9',الارض
shadi,شادي
btlt,بطلت
makhlo8a,مخلوقه
btgra,بتقرا
houwa,هو
jbthom,جبتهم
batotat,بطوطات
shn3a,شنعه
bt3rf,بتعرف
mthayb,متهايب
tetzakare,تتزكري
2sf,اسف
glbak,قلبك
faw8eh,فوقيه
6ayshen,طايشين
2ssi,اسسي
elnasat,الناسات
shaefenk,شايفينك
$abak,شابك
l2osbo3,الاسبوع
ne3k,نيعك
8bli,قبلي
bytl3lke,بيطلعلكي
$faf,شفاف
bel3ade,بالعادي
mdf3,مدفع
3andek,عندك
mr83ah,مرقعه
nisih,نسيه
wa2feh,وائفه
estgrabt,استغربت
yuma,يوما
kef,كيف
3$anoh,عشانه
bhdr,بحضر
7e9t,حصة
t7mek,تحميك
5yar,خيار
alfrg,الفرق
moser,مصر
8adra,قادره
mosta7el,مستحيل
m$anek,مشانك
estamri,استمري
tw83t,توقعت
lsowar,الصور
b5ber,بخبر
balkona,بلكونه
bjamtk,بجامتك
ywafgk,يوفقك
eybarik,يبارك
5alini,خليني
rabi,ربي
sh6ft,شطفت
al2akhr,الأخر
gad,قد
mnetwaham,منتوهم
3on,عون
btdall,بتدلل
wardeh,ورده
lshughul,الشغل
mohemeh,مهمه
far7aneen,فرحانين
kman,كمان
etem,يتيم
najede,نجده
bz3lsh,بزعلش
bdmnle,بضمنلي
tfeh,تافه
b2at3,بئطع
wkzo,وكزه
3jbo,عجبه
t8t3hom,تقطعهم
el3z,العز
naymh,نايمه
mwa,مواه
sa7tna,ساحتنا
arf,أرف
al5yanh,الخيانه
kheir,خير
wt9awri,وتصوري
9ahboh,صاحبه
y5uy,ياخوي
n9er,نصير
6alag,طلق
bdrushush,بدرسهوش
tjibli,تجيبيلي
ertbte,ارتبطتي
8ena3,قناع
27ke,احكي
al3loum,العلوم
dary,داري
5a6ba,خاطبه
td5ol,تدخل
t76,تحط
t3'alb,تغلب
ensan,انسان
rasamnah,رسمناه
yrslo,يرسلو
3zmtna,عزمتنا
3adeh,عاده
shhr,شهر
ba8der,بقدر
mem3a,ميمعه
tnso,تنسو
2a3da2,اعداء
astkhdmo,استخدمو
5ames,خميس
3ajebtny,عاجيبتني
yshufhum,يشوفهم
t5eal,تخيل
mazb6t,مازبطت
fi,في
9art,صارت
t9oro,تصورو
talbatek,طالبتك
fahmeen,فاهمين
ensaneh,انسانه
deraseh,دراسه
t7kelesh,تحكيليش
2kon,اكون
sa7j,سحج
amooot,اموت
a7kelo,احكيلو
6be3e,طبيعي
asm3to,اسمعته
t4krtiiha,تذكرتيها
m3amel,معامل
fr6t,فرطت
feni,فيني
3en,عين
7asrtee,حسرتي
ndrshom,ندرسهم
gazdkm,قزدكم
9'rbtek,ضربتك
elbaba,البابا
el8dem,القديم
mshnga,مشنقه
mkmorah,مكموره
thaltheh,ثالثه
elmofrtah,المفرطه
fsl,فصل
7akale,حكالي
kar$a,كرشه
khodene,خوديني
tbene,تبيني
7yatk,حياتك
esmy,اسمي
wr$eh,ورشه
barklkom,باركلكم
fa5amet,فخامات
tarek,تارك
ydalo,يضلو
ys3dkn,يسعدكن
59o9an,خصوصا
sabet,سبت
mz3ah,مزعه
akherat,اخرة
blouze,بلوزه
hadeek,هديك
ajak,اجاك
fashel,فاشل
lwz,لوز
zah8anh,زهقانه
asib,اسب
oelle,أويلي
a3ta8ed,اعتقد
yardha,يرضى
e7mek,يحميك
korhek,كرهك
mabfout,مابفوت
kthb,كذب
3abdelhadi,عبدالهادي
nafsete,نفسيتي
anzlah,انزله
tzorni,تزورني
mad5lkom,مادخلكم
lbkrha,البكرها
rhltkom,رحلتكم
bjaneno,بجننو
labnet,البنت
sawitoni,سويتوني
t3mlk,تعملك
brmajeh,برمجه
yj3l,يجعل
9orna,صرنا
lhdrjh,لهدرجه
sahbit,صاحبية
7redeet,حرضت
wsltha,وصلتها
3n,عن
3amleh,عامله
tormos,ترمس
l3uyon,لعيونو
al56bo6,الخطبوط
morad,مراد
bidk,بدك
mtli,متلي
9r93ny,صرصعني
$aft,شافت
2l9alah,الصاله
2t3'albene,اتغلبيني
a7san,احسن
bnbark,بنبارك
bhnuk,بهنوك
7akmet,حكمت
btetef2e,بتتفئي
b7bsh,بحبش
ela9el,الاصل
bes2al,بسال
meshwari,مشواري
7o9ti,حصتي
ab3tlkom,ابعتلكم
ywsl,يوصل
8esas,قصص
benit,بنت
mshalah,ماشاءالله
2na,انا
elbnk,البنك
79'nha,حضنها
bt5wef,بتخوف
bttnakas,بتتنكس
3lkbseh,عالكبسه
walahi,واللهي
7yah,حياه
w3ly,وعلي
bd5ls,بدخلص
2sh5as,اشخاص
3amlethom,عامليتهم
msafer,مسافر
35er,عخير
btl3lo,بطلعلو
amdlb7,امدلبح
a7kelk,احكيلك
bodrob,بضرب
2drosoh,ادرسه
bet7a8aru,بتحاقرو
59e9n,خصيصا
mabso6a,مبسوطه
bhli,بهلي
ab3tlk,ابعتلك
t7t,تحت
3l7bal,عالحبال
l7meh,لحمه
alqus,القوس
2mt7anat,امتحانات
tedkhlou$,تدخلوش
mory7ah,مريحه
tshrfena,تشرفينا
bt$tri,بتشتري
8rab,قرب
mumken,ممكن
3yne,عيني
jzabe,جزابه
el6al3at,الطلعات
mmken,ممكن
aje,اجي
elwaqt,الوقت
lma3n,لمعن
en8al3e,انقلعي
kmli,كملي
asawelk,اسويلك
mleaneh,مليانه
maroon,مروان
mraoe7,مروح
2lzrqa2,الزرقاء
a7tmal,احتمال
elhana,الهنا
yr7mhm,يرحمهم
kafkm,كفكم
l7alna,لحالنا
msade,مصدي
nassif,ناصيف
yeshfek,يشفيك
mlo5ea,ملوخيه
sb3en,سبعين
fashar,فشر
tstfzne,تستفزني
balh,باله
bansa7k,بنصحك
bt5zee,بتخزي
na$e6en,نشيطين
yaste,ياستي
twlt,طولت
jrbiiha,جربيها
sar7one,سارحوني
mne7a,منيحه
a8dm,اقدم
mt5byh,متخبيه
bt3'amy,بتغمي
7betu,حبيته
b6let,بطلت
n4l,نذل
shfayfu,شفايفه
mo3az,معز
af9l,افصل
39er,عصير
2tkrftt,اتكرفتت
elm9awreen,المصورين
ilmhtama,المهتمه
zalmah,زلمه
el$e6an,الشيطان
shoi,شوي
do5ane,دخاني
tlzeg,تلزيق
shtagt,اشتقت
2la9l,الاصل
arod,ارد
z3lkm,زعلكم
tshta2lk,تشتائلك
el6abe3h,الطبيعه
wasef,واصف
8rf,قرف
elsholeh,السهوله
$nta,شنته
el56oah,الخطوه
yl63ni,يلطعني
btdri,بتدري
kasrna,كسرنا
al3ya4,العياذ
tet5arag,تتخرج
nset,نسيت
zayee,زيي
3bdallah,عبدالله
dacatirh,دكاتره
wtlm7,وتلمح
usbu3,اسبوع
tet2damlk,تتأدملك
kolko,كلكو
abzog,ابزق
as2elah,اسئله
b9ahtak,بصحتك
ant8lt,انتقلت
ahlk,اهلك
e7tfln,احتفلن
tetzakre,تتزكري
f$,فش
marfo9'ah,مرفوضه
yrdk,يردك
blfet,بلفت
ltra8bni,لتراقبني
2lbak,ألبك
ema,اما
7alyan,حاليا
ba7o6,بحط
dro7,دروح
thanawi,ثانوي
bt36e,بتعطي
temshy,تمشي
t5lof,تخلف
elr5am,الرخام
n$6,نشط
mbzar,مبزر
swark,صورك
3alawal,عالاول
estno,استنو
7modeh,حموده
shofi,شوفي
blel,بليل
t7melh,تحميله
btg9eer,بتقصر
re7t,ريحة
a5ern,اخيرا
393'r,عصغر
bw5d,بوخد
altaljat,التلجات
kelmet,كلمة
9a7bna,صاحبنا
lljlayeh,للجللايه
elantaaj,الأنتاج
34ab,عذاب
blmdrseh,بالمدرسه
f6a7l,فطاحل
e7m,احم
silver,سلفر
ad3elha,ادعيلها
btkabri,بتكبري
8elt,قلة
k4a,كذا
ghayre,غيري
$ailh,شايله
at3enk,اطعنك
7ee6,حييط
m3k,معك
y7remni,يحرمني
en7sdo,ينحسدو
inbasatet,انبسطت
el7amdellah,الحمدلله
twni,توني
7alate,حالاتي
maba8bal,مابقبل
lyoum,اليوم
t7meleh,تحميله
byrja3,بيرجع
amaneh,امانه
3'seb,غصب
ma38oleh,معقوله
$abs,شبس
anz3j,انزعج
jdedeh,جديده
t7awl,تحول
7ateteh,حطتيها
hablah,هبله
k$fteni,كشفتيني
3ndey,عندي
nadaha,ناداها
gherk,غيرك
debri,دبري
bmzaj,بمزاج
blsou2,بالسوء
raj3en,راجعين
wkif,و كيف
ahki,احكي
el6arma,الطرمه
mathalan,مثلا
3'abrh,غبره
5susi,خصوصي
alhob,الحب
makanech,مكانج
zab6a,زابطه
3ar9,عرص
maro7,مروح
mllba,ملبى
rohek,روحك
elm8alat,المقالات
awladha,اولادها
mrtbt,مرتبط
wyousef,ويوسف
b3'la,بغلى
sara,ساره
sam3,سامع
mohnds,مهندس
asaln,اصلا
ela6ra$,الاطرش
est7t,استحت
elkfren,الكفرين
waslen,واصلين
kbrte,كبرتي
el7anak,الحنك
atmn,اطمن
$hab,شهاب
b3refsh,بعرفش
5br,خبر
mlkish,مالكيش
